,_id,deviceType,deviceFirmwareVersion,deviceMACAddress,deviceAnimalID,__v
170,640f6ef10c8f4c1edc6768b0,CARAVANA,2222,E35B6DE9E2CB,640f6ef10c8f4c1edc6767ec,0
171,640f6ef10c8f4c1edc6768bc,CARAVANA,2222,20807C54D5F9,640f6ef10c8f4c1edc6767f3,0
172,640f6ef10c8f4c1edc6768ca,CARAVANA,2222,36577C95EDCE,640f6ef10c8f4c1edc6767fd,0
173,640f6ef10c8f4c1edc6768c2,CARAVANA,2222,39BE3E1C32FE,640f6ef10c8f4c1edc6767ea,0
174,640f6ef10c8f4c1edc6768c6,CARAVANA,2222,F588815949F4,640f6ef10c8f4c1edc6767e7,0
175,640f6ef10c8f4c1edc6768ba,CARAVANA,2222,FAD687BC9AD4,640f6ef10c8f4c1edc6767f6,0
176,640f6ef10c8f4c1edc6768d4,CARAVANA,2222,511C5B403ADE,640f6ef10c8f4c1edc6767f0,0
177,640f6ef10c8f4c1edc6768d0,CARAVANA,2222,351AC2335BE7,640f6ef10c8f4c1edc6767f4,0
178,640f6ef10c8f4c1edc6768c4,CARAVANA,2222,FC69A34CF2FD,640f6ef10c8f4c1edc6767e8,0
179,640f6ef10c8f4c1edc6768b4,CARAVANA,2222,6F870477B1C0,640f6ef10c8f4c1edc6767f1,0
180,640f6ef10c8f4c1edc6768cc,CARAVANA,2222,0F56F52898F5,640f6ef10c8f4c1edc676800,0
181,640f6ef10c8f4c1edc6768de,CARAVANA,2222,DB251A6942EF,640f6ef10c8f4c1edc676807,0
182,640f6ef10c8f4c1edc6768d6,CARAVANA,2222,14FE60AE5BC1,640f6ef10c8f4c1edc6767ed,0
183,640f6ef10c8f4c1edc6768be,CARAVANA,2222,F8ED69B12AFD,640f6ef10c8f4c1edc6767fb,0
184,640f6ef10c8f4c1edc6768da,CARAVANA,2222,39519EBB25F7,640f6ef10c8f4c1edc6767f9,0
185,640f6ef10c8f4c1edc6768ce,CARAVANA,2222,8655A96A89C9,640f6ef10c8f4c1edc6767eb,0
186,640f6ef10c8f4c1edc6768e8,CARAVANA,2222,D9572561E0D4,640f6ef10c8f4c1edc67680c,0
187,640f6ef10c8f4c1edc6768c8,CARAVANA,2222,2F5C7032F1E9,640f6ef10c8f4c1edc6767ef,0
188,640f6ef10c8f4c1edc6768e0,CARAVANA,2222,09FA3C168AEF,640f6ef10c8f4c1edc6767f2,0
189,640f6ef10c8f4c1edc6768d8,CARAVANA,2222,4F03759410F4,640f6ef10c8f4c1edc676805,0
190,640f6ef10c8f4c1edc6768e4,CARAVANA,2222,3BBABD81BBE0,640f6ef10c8f4c1edc6767f7,0
191,640f6ef10c8f4c1edc6768f2,CARAVANA,2222,3156D4CB90DB,640f6ef10c8f4c1edc676811,0
192,640f6ef10c8f4c1edc6768d2,CARAVANA,2222,4DDAA7F53CC0,640f6ef10c8f4c1edc676802,0
193,640f6ef10c8f4c1edc6768ea,CARAVANA,2222,E2409D8391F9,640f6ef10c8f4c1edc6767fe,0
194,640f6ef10c8f4c1edc6768fc,CARAVANA,2222,6084E2DE1EF3,640f6ef10c8f4c1edc676816,0
195,640f6ef10c8f4c1edc6768ee,CARAVANA,2222,AC7006E6E6EE,640f6ef10c8f4c1edc6767fc,0
196,640f6ef10c8f4c1edc6768e2,CARAVANA,2222,A83138A13AD7,640f6ef10c8f4c1edc67680a,0
197,640f6ef10c8f4c1edc6768f4,CARAVANA,2222,8B6883BC36DE,640f6ef10c8f4c1edc676803,0
198,640f6ef10c8f4c1edc6768dc,CARAVANA,2222,BE8E7D2DAFC0,640f6ef10c8f4c1edc6767f5,0
199,640f6ef10c8f4c1edc676906,CARAVANA,2222,41CA6950E6CA,640f6ef10c8f4c1edc676809,0
200,640f6ef10c8f4c1edc6768f8,CARAVANA,2222,78B3EFA533E0,640f6ef10c8f4c1edc676814,0
201,640f6ef10c8f4c1edc6768ec,CARAVANA,2222,B5059D4759E7,640f6ef10c8f4c1edc67680f,0
202,640f6ef10c8f4c1edc6768e6,CARAVANA,2222,384C49DFC3C7,640f6ef10c8f4c1edc6767fa,0
203,640f6ef10c8f4c1edc6768fe,CARAVANA,2222,50562F1B6CDE,640f6ef10c8f4c1edc676808,0
204,640f6ef10c8f4c1edc676902,CARAVANA,2222,C1B8924ECBC2,640f6ef10c8f4c1edc676819,0
